,county_state
958,"Randolph, AR"
959,"Randolph, AR"
960,"Randolph, AR"
961,"Randolph, AR"
962,"Randolph, AR"
963,"Saline, AR"
964,"Saline, AR"
965,"Saline, AR"
966,"Saline, AR"
967,"Saline, AR"
968,"Saline, AR"
969,"Saline, AR"
970,"Saline, AR"
971,"Saline, AR"
972,"Saline, AR"
973,"Saline, AR"
974,"Saline, AR"
975,"Saline, AR"
976,"Saline, AR"
977,"Saline, AR"
978,"Saline, AR"
979,"Scott, AR"
980,"Scott, AR"
981,"Scott, AR"
982,"Searcy, AR"
983,"Searcy, AR"
984,"Searcy, AR"
985,"Searcy, AR"
986,"Sebastian, AR"
987,"Sebastian, AR"
988,"Sebastian, AR"
989,"Sebastian, AR"
990,"Sebastian, AR"
991,"Sebastian, AR"
992,"Sebastian, AR"
993,"Sebastian, AR"
994,"Sebastian, AR"
995,"Sebastian, AR"
996,"Sebastian, AR"
997,"Sebastian, AR"
998,"Sebastian, AR"
999,"Sebastian, AR"
1000,"Sevier, AR"
1001,"Sevier, AR"
1002,"Sevier, AR"
1003,"Sevier, AR"
1004,"Sevier, AR"
1005,"Sharp, AR"
1006,"Sharp, AR"
1007,"Sharp, AR"
1008,"Sharp, AR"
1009,"Sharp, AR"
1010,"Sharp, AR"
1011,"Sharp, AR"
1012,"Sharp, AR"
1013,"Stone, AR"
1014,"Stone, AR"
1015,"Stone, AR"
1016,"Stone, AR"
1017,"Stone, AR"
1018,"Stone, AR"
1019,"Union, AR"
1020,"Union, AR"
1021,"Union, AR"
1022,"Union, AR"
1023,"Union, AR"
1024,"Van-Buren, COUNTY"
1025,"Van-Buren, COUNTY"
1026,"Van-Buren, COUNTY"
1027,"Van-Buren, COUNTY"
1028,"Washington, AR"
1029,"Washington, AR"
1030,"Washington, AR"
1031,"Washington, AR"
1032,"Washington, AR"
1033,"Washington, AR"
1034,"Washington, AR"
1035,"Washington, AR"
1036,"Washington, AR"
1037,"Washington, AR"
1038,"Washington, AR"
1039,"Washington, AR"
1040,"Washington, AR"
1041,"White, AR"
1042,"White, AR"
1043,"White, AR"
1044,"White, AR"
1045,"White, AR"
1046,"White, AR"
1047,"White, AR"
1048,"White, AR"
1049,"White, AR"
1050,"White, AR"
1051,"White, AR"
1052,"White, AR"
1053,"White, AR"
1054,"White, AR"
1055,"White, AR"
1056,"Woodruff, AR"
1057,"Yell, AR"
1058,"Yell, AR"
1059,"Yell, AR"
1060,"Yell, AR"
1061,"Yell, AR"
1062,"Yell, AR"
1063,"Yell, AR"
1064,"Yell, AR"
1065,"Yell, AR"
1066,"Yell, AR"
1067,"Alameda, CA"
1068,"Alameda, CA"
1069,"Alameda, CA"
1070,"Alameda, CA"
1071,"Alameda, CA"
1072,"Alameda, CA"
1073,"Alameda, CA"
1074,"Alameda, CA"
1075,"Alameda, CA"
1076,"Alameda, CA"
1077,"Alameda, CA"
1078,"Alameda, CA"
1079,"Alameda, CA"
1080,"Alameda, CA"
1081,"Alameda, CA"
1082,"Alameda, CA"
1083,"Alameda, CA"
1084,"Alpine, CA"
1085,"Amador, CA"
1086,"Amador, CA"
1087,"Amador, CA"
1088,"Amador, CA"
1089,"Amador, CA"
1090,"Amador, CA"
